Model,Corpus,Corpus_PPL,Mean_Sentence_PPL,Median_Sentence_PPL,Std_Dev_PPL,Min_PPL,Max_PPL,Total_Sentences,Evaluated_Sentences,Total_Tokens
Qwen2.5-3B-Instruct,Buddhist Sinhala,7.237380874373605,8.703466456383467,7.87961483001709,3.6105195126401384,3.21943736076355,35.40593719482422,1024,1024,99113
Qwen2.5-3B-Instruct,Mixed,9.80964073733622,11.726776180788875,10.0069260597229,5.8457634873237305,2.5766592025756836,54.91339874267578,1024,1024,79617
Qwen2.5-3B-Instruct,General Sinhala,6.563571560956879,7.9419356205035,7.262487888336182,3.289815164202127,2.4924042224884033,34.58055877685547,1024,1024,113225
Llama-3.2-3B-Instruct,Buddhist Sinhala,6.617192160271029,7.377266084775329,7.2188026905059814,1.7442761740585788,2.9286489486694336,17.38928985595703,1024,1024,121777
Llama-3.2-3B-Instruct,Mixed,7.809088744494428,8.423656319035217,8.096407890319824,2.1181469257555485,2.8466620445251465,18.361343383789062,1024,1024,97699
Llama-3.2-3B-Instruct,General Sinhala,6.939972896168221,7.467983299167827,7.269662618637085,1.4996685363061009,2.5807693004608154,17.01050567626953,1024,1024,140020
Aya-Expanse-8B,Buddhist Sinhala,6.208292124361187,7.378063783049583,6.579134464263916,3.5557267113019333,2.540343999862671,52.39817810058594,1024,1024,110556
Aya-Expanse-8B,Mixed,8.816659398709524,10.338005998404697,9.055890560150146,5.024861901750664,2.699211359024048,44.08348083496094,1024,1024,89228
Aya-Expanse-8B,General Sinhala,4.899385418886987,5.901012213435024,5.294642448425293,2.5202915189935604,2.2019243240356445,33.22218704223633,1024,1024,128023
Gemma-2-9B-IT,Buddhist Sinhala,22.207877554527965,47.12246775859967,28.809484481811523,68.3890598087681,4.662942409515381,840.9990234375,1024,1024,57644
Gemma-2-9B-IT,Mixed,36.71123717705241,68.87944398447871,46.854190826416016,79.54123530487448,3.564920425415039,1136.977783203125,1024,1024,50357
Gemma-2-9B-IT,General Sinhala,14.858943122399067,33.02033199509606,20.842741012573242,45.667072959216036,3.327850341796875,643.943115234375,1024,1024,68706
Llama-3.1-8B-Instruct,Buddhist Sinhala,3.289240468390185,3.763650040142238,3.4842880964279175,1.176940995668898,1.9290435314178467,12.687376022338867,1024,1024,121777
Llama-3.1-8B-Instruct,Mixed,4.175731532536958,4.662129055475816,4.1391401290893555,1.8234026098121754,2.086538791656494,14.53536605834961,1024,1024,97699
Llama-3.1-8B-Instruct,General Sinhala,3.264069529465108,3.7575115078361705,3.5352452993392944,1.1556289173682155,1.7390803098678589,10.551114082336426,1024,1024,140020
