Corpus,Rank,Model,Perplexity
Buddhist Sinhala,1,Llama-3.1-8B-Instruct,3.289240468390185
Buddhist Sinhala,2,Aya-Expanse-8B,6.208292124361187
Buddhist Sinhala,3,Llama-3.2-3B-Instruct,6.617192160271029
Buddhist Sinhala,4,Qwen2.5-3B-Instruct,7.237380874373605
Buddhist Sinhala,5,Gemma-2-9B-IT,22.207877554527965
Mixed,1,Llama-3.1-8B-Instruct,4.175731532536958
Mixed,2,Llama-3.2-3B-Instruct,7.809088744494428
Mixed,3,Aya-Expanse-8B,8.816659398709524
Mixed,4,Qwen2.5-3B-Instruct,9.80964073733622
Mixed,5,Gemma-2-9B-IT,36.71123717705241
General Sinhala,1,Llama-3.1-8B-Instruct,3.264069529465108
General Sinhala,2,Aya-Expanse-8B,4.899385418886987
General Sinhala,3,Qwen2.5-3B-Instruct,6.563571560956879
General Sinhala,4,Llama-3.2-3B-Instruct,6.939972896168221
General Sinhala,5,Gemma-2-9B-IT,14.858943122399067
