Model,Type,Size,Organization,Buddhist_Sinhala,Mixed,General_Sinhala,Buddhist/General_Ratio,Mixed/General_Ratio
GPT-3.5-Turbo,api,Unknown,OpenAI,1.0900546272087195,1.1089094479411006,1.0811950799152217,1.0081942171751213,1.0256330874425104
GPT-4o-mini,api,Unknown,OpenAI,1.2325360314964238,1.1492460675899543,1.3124127991488062,0.9391374667298367,0.8756742301929109
GPT-4-Turbo,api,Unknown,OpenAI,1.5612008586001809,1.5927540236000364,1.4827039940833828,1.0529416962725087,1.0742225217951795
GPT-4o,api,Unknown,OpenAI,1.6161876506904602,1.7687746739900563,1.6753497002044924,0.9646867459929047,1.0557644614579036
Llama-3.1-8B-Instruct,local,8B,Meta,3.289240468390185,4.175731532536958,3.2628408884882107,1.008090979855964,1.279783990469643
Aya-Expanse-8B,local,8B,Cohere,6.208292124361187,8.816659398709524,4.898197366739791,1.2674646731300228,1.799980429244695
Llama-3.2-3B-Instruct,local,3B,Meta,6.617192160271029,7.809088744494428,6.93929976266727,0.9535821173010643,1.1253424713695948
Qwen2.5-3B-Instruct,local,3B,Alibaba,7.237380874373605,9.80964073733622,6.563067893314208,1.1027435632269353,1.4946730548573623
Gemma-2-9B-IT,local,9B,Google,22.207877554527965,36.71123717705241,14.848956416219421,1.495585072245915,2.472310925295259
O1-mini,api,Unknown,OpenAI,inf,inf,inf,,
