Model,Type,Buddhist_Sinhala,Mixed,General_Sinhala
GPT-4o-mini,api,1.003529414631691,1.001610625259089,1.022581840954555
GPT-4o,api,1.1361697708759215,1.1355323573816882,1.0695370942358653
GPT-4-Turbo,api,1.5623659264575114,1.5873579546397134,1.4837760428598625
Llama-3.1-8B,local,3.5403312228560417,4.4644357376927415,3.785101124705361
Aya-Expanse-8B,local,6.508857175446534,10.02565759313901,5.776608260949875
Llama-3.2-3B,local,7.321547046797031,8.162532010574468,7.509988832765835
Qwen2.5-3B,local,7.89135697562159,10.762471251367351,7.700924591627808
Gemma-2-9B,local,26.85824314854068,59.79726609484387,24.85756201354875
GPT-3.5-Turbo,api,inf,inf,inf
O1-mini,api,inf,inf,inf
